ID*,Vendor name*,Vendor contacts,Message,Bill No.,Due date,Bill currency,Receiving currency,Swift charge option,Line item type*,Line item name*,Line item description,Line item price*,Line item quantity,Line item amount*,Total amount*,Payment from*,Payment method*,Delivery option*,Send on date
E4294,5401e3f0-71ea-4c66-8c1f-1ada51265d53,receivables@toto.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4294,03/16/2026,,,,"CATEGORY",Toto USA Inc,"COST OF GOODS SOLD",26820.43,"1",26820.43,26820.43,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4281,79a19297-9ab7-4e58-8feb-d35494cc7b95,cashgroup@deltafaucet.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4281,03/16/2026,,,,"CATEGORY",Delta Faucet Company,"COST OF GOODS SOLD",778.29,"1",778.29,778.29,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4285,066a8286-f49e-4d04-ad66-0613e6b04cea,accounting-us@hansgrohe.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4285,03/16/2026,,,,"CATEGORY",Hansgrohe,"COST OF GOODS SOLD",32281.10,"1",32281.10,32281.10,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4279,b17fe38d-eca0-410b-846d-3853ab7f2197,accounts@busterandpunch.us,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4279,03/16/2026,,,,"CATEGORY",Buster + Punch,"COST OF GOODS SOLD",332.27,"1",332.27,332.27,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4283,4946916b-6082-4cc3-b6f2-4d910f35d757,accountsreceivable.us@geberit.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4283,03/16/2026,,,,"CATEGORY",GEBERIT,"COST OF GOODS SOLD",746.79,"1",746.79,746.79,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4284,4c27b72c-4b9c-48f4-b621-f35e8261b2bc,accounting@graff-designs.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4284,03/16/2026,,,,"CATEGORY",Graff Faucets Co.,"COST OF GOODS SOLD",5140.75,"1",5140.75,5140.75,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4280,622796f9-73fc-4306-9da4-ff77d909cd9e,payments@calfaucets.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4280,03/16/2026,,,,"CATEGORY",California Faucets,"COST OF GOODS SOLD",2344.37,"1",2344.37,2344.37,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4282,367d0aa1-b1d2-4426-9117-e0c0218bf1bc,ks-ar.us@franke.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4282,03/16/2026,,,,"CATEGORY",Franke Kitchen Systems,"COST OF GOODS SOLD",2893.92,"1",2893.92,2893.92,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4286,db2e9e9a-9cd0-48dc-b29a-6dfec7ac5679,credit@infinitydrain.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4286,03/16/2026,,,,"CATEGORY",Infinity Drain,"COST OF GOODS SOLD",875.25,"1",875.25,875.25,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4278,6d7f971f-560e-416d-93da-572d30dabc66,b_dcreditdept@sbdinc.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4278,03/16/2026,,,,"CATEGORY",Black & Decker Inc,"COST OF GOODS SOLD",644.46,"1",644.46,644.46,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4289,c6e00ffe-a616-4cca-b619-fac7e2674a40,elizabethp@madeli.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4289,03/16/2026,,,,"CATEGORY",MADELI USA LLC,"COST OF GOODS SOLD",758.75,"1",758.75,758.75,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4293,59ca716e-02f7-44e9-b26a-e1f304ec4e72,accounting@topknobs.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4293,03/16/2026,,,,"CATEGORY",TOP KNOBS (USA) INC.,"COST OF GOODS SOLD",651.61,"1",651.61,651.61,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4287,ac0222e7-f7ee-4440-ac72-573428c876bb,samantha.damron@jamesmartinvanities.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4287,03/16/2026,,,,"CATEGORY",James Martin Signature Vanities,"COST OF GOODS SOLD",15.00,"1",15.00,15.00,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4295,5401e3f0-71ea-4c66-8c1f-1ada51265d53,receivables@toto.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4295,03/16/2026,,,,"CATEGORY",Toto USA Inc,"COST OF GOODS SOLD",107161.01,"1",107161.01,107161.01,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4291,ecd5f428-e791-4f07-b3ee-dd3b37d571a5,fax.credit@sloan.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4291,03/16/2026,,,,"CATEGORY",SLOAN VALVE COMPANY,"COST OF GOODS SOLD",739.90,"1",739.90,739.90,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4292,bbd2a792-4704-4435-8646-eda4dde54423,accountsreceivable.us@geberit.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4292,03/16/2026,,,,"CATEGORY",THE CHICAGO FAUCET COMPANY,"COST OF GOODS SOLD",1980.72,"1",1980.72,1980.72,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4288,154561d6-e9b7-4293-9ea1-e265333f66f2,bps.us.cashapps@lixil.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4288,03/16/2026,,,,"CATEGORY",Lixil Water Technology,"COST OF GOODS SOLD",1029.88,"1",1029.88,1029.88,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4296,5401e3f0-71ea-4c66-8c1f-1ada51265d53,receivables@toto.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4296,03/16/2026,,,,"CATEGORY",Toto USA Inc,"COST OF GOODS SOLD",169136.53,"1",169136.53,169136.53,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
E4290,851781fd-fc51-4be6-b5f5-48ef6638eca9,payments@kohler.com,"REMITTANCE ADVICE WILL BE SENT FROM A SEPARATE EMAIL",E4290,03/16/2026,,,,"CATEGORY",ROBERN,"COST OF GOODS SOLD",12839.71,"1",12839.71,12839.71,"3D309CB171A64B98940E5E7F6C3EAC09","ACH","EXPEDITED ACH",03/16/2026
,,,,,,,,,,,,,,,367170.74,,,,
